+--------+---------+-------+-------------+-------------+
|  cust  |   prod  | month | 1_avg_quant | 1_max_quant |
|  Dan   |   Ice   |   12  |     4684    |     891     |
| Helen  |  Butter |   10  |     6433    |     871     |
|  Chae  |  Butter |   3   |     2858    |     599     |
|  Dan   |   Ham   |   8   |     5800    |     901     |
| Claire |  Dates  |   3   |     4913    |     999     |
| Wally  |   Fish  |   3   |     9117    |     909     |
|  Mia   |  Butter |   7   |     6021    |     890     |
|  Chae  |   Ham   |   7   |     3643    |     977     |
|  Dan   |  Apple  |   5   |     5215    |     982     |
|  Dan   |  Butter |   6   |     5080    |     990     |
|  Boo   |  Apple  |   2   |     5996    |     922     |
|  Mia   | Jellies |   8   |     5256    |     924     |
|  Mia   |  Dates  |   5   |     4990    |     810     |
|  Sam   | Jellies |   12  |     4884    |     929     |
|  Boo   |  Dates  |   9   |     1792    |     802     |
|  Dan   |   Fish  |   10  |     4252    |     986     |
|  Chae  |   Ice   |   7   |     5741    |     924     |
| Helen  |  Grapes |   1   |     8545    |     964     |
|  Sam   |   Eggs  |   7   |     4769    |     989     |
| Wally  |   Ham   |   1   |     5772    |     948     |
|  Dan   |  Butter |   8   |     6972    |     958     |
|  Sam   |   Ham   |   8   |     7292    |     953     |
|  Chae  |  Grapes |   12  |     2814    |     845     |
| Helen  | Jellies |   1   |     4585    |     783     |
|  Mia   |   Ice   |   9   |     8267    |     968     |
| Claire |  Grapes |   2   |     3062    |     731     |
| Emily  |   Eggs  |   2   |     2094    |     672     |
|  Sam   | Jellies |   8   |     7902    |     986     |
| Wally  |  Grapes |   3   |     5648    |     984     |
|  Boo   |   Eggs  |   11  |     3358    |     798     |
|  Boo   |  Apple  |   9   |     5054    |     977     |
|  Sam   |  Grapes |   10  |     3590    |     663     |
| Emily  |   Ham   |   10  |     7756    |     993     |
| Wally  |   Fish  |   2   |     7244    |     830     |
|  Chae  |   Fish  |   7   |     5186    |     967     |
| Claire |  Butter |   3   |    10248    |     980     |
| Wally  | Jellies |   3   |     2601    |     1000    |
| Claire |   Fish  |   2   |     7036    |     967     |
|  Sam   |  Dates  |   4   |     4111    |     832     |
|  Boo   |  Apple  |   4   |     9360    |     979     |
| Emily  |  Dates  |   5   |     4844    |     952     |
|  Mia   |   Eggs  |   5   |     2468    |     787     |
| Wally  |   Eggs  |   9   |     4869    |     744     |
| Wally  |   Ham   |   5   |     8766    |     953     |
|  Dan   |  Grapes |   6   |     2674    |     940     |
| Helen  |  Dates  |   8   |     1513    |     648     |
| Wally  |   Ice   |   5   |     5578    |     823     |
|  Boo   |  Dates  |   12  |     4866    |     794     |
| Claire |  Dates  |   12  |     4568    |     901     |
| Wally  |   Eggs  |   5   |     8366    |     985     |
| Claire |   Eggs  |   9   |     4200    |     755     |
| Emily  |   Eggs  |   1   |     2727    |     903     |
| Emily  |   Eggs  |   10  |     3853    |     705     |
| Claire |   Ham   |   10  |     5133    |     949     |
| Helen  |   Eggs  |   12  |     2736    |     731     |
| Emily  |   Fish  |   5   |     3701    |     534     |
|  Chae  |  Butter |   5   |     5096    |     954     |
|  Boo   | Jellies |   12  |     4843    |     896     |
|  Sam   |  Cherry |   11  |     4921    |     909     |
|  Sam   |  Cherry |   3   |     6171    |     941     |
| Emily  |  Dates  |   3   |     2757    |     550     |
|  Boo   |  Grapes |   4   |     6042    |     998     |
|  Boo   |   Eggs  |   9   |     4660    |     851     |
|  Mia   |   Ham   |   6   |     3042    |     902     |
|  Chae  |  Apple  |   6   |     3605    |     900     |
|  Boo   |   Ice   |   9   |     5497    |     985     |
| Emily  |   Eggs  |   11  |     7455    |     957     |
|  Sam   |   Ham   |   1   |     3327    |     939     |
|  Mia   |  Grapes |   9   |     5609    |     970     |
|  Mia   |  Cherry |   11  |     3917    |     917     |
|  Boo   |  Apple  |   12  |     3477    |     670     |
|  Boo   | Jellies |   2   |     5781    |     784     |
|  Dan   |   Ham   |   1   |     2098    |     893     |
| Claire |  Dates  |   5   |     5253    |     853     |
|  Dan   |   Ham   |   2   |     3845    |     709     |
|  Mia   | Jellies |   12  |     4392    |     971     |
| Claire |  Grapes |   3   |     7081    |     966     |
| Emily  |   Ham   |   6   |     7417    |     969     |
| Wally  | Jellies |   2   |     2031    |     824     |
| Wally  |  Apple  |   9   |     5568    |     863     |
|  Chae  |  Dates  |   3   |     5931    |     991     |
|  Boo   |  Apple  |   3   |     2800    |     849     |
| Claire |   Eggs  |   8   |     7034    |     992     |
|  Mia   |  Grapes |   11  |     5338    |     912     |
| Helen  |   Ice   |   2   |     934     |     425     |
| Claire |  Butter |   9   |     5585    |     980     |
|  Dan   |  Cherry |   1   |     6734    |     991     |
|  Chae  |   Eggs  |   1   |     5276    |     967     |
| Helen  |  Grapes |   9   |     6436    |     840     |
|  Chae  |  Dates  |   10  |     4898    |     829     |
| Wally  |   Fish  |   8   |     6313    |     998     |
| Wally  |  Cherry |   1   |     3184    |     892     |
|  Sam   | Jellies |   11  |     3868    |     949     |
|  Chae  |  Butter |   9   |     3775    |     811     |
| Helen  | Jellies |   5   |     4398    |     976     |
| Emily  | Jellies |   11  |     6053    |     845     |
|  Sam   |  Dates  |   12  |     6389    |     996     |
|  Dan   |   Ice   |   8   |     3960    |     886     |
| Claire |  Butter |   2   |     7566    |     963     |
| Helen  |  Dates  |   2   |     9033    |     987     |
| Emily  |   Ice   |   4   |     4444    |     858     |
|  Chae  |   Eggs  |   8   |     4887    |     940     |
| Claire |   Fish  |   7   |     2164    |     849     |
|  Dan   |   Eggs  |   12  |     3468    |     851     |
| Claire |  Butter |   5   |     3462    |     883     |
| Wally  |  Butter |   7   |     9971    |     967     |
|  Sam   |   Ice   |   12  |     4245    |     898     |
|  Dan   |   Ham   |   3   |     5169    |     911     |
|  Dan   |  Cherry |   11  |     3476    |     872     |
|  Dan   |   Eggs  |   9   |     5558    |     925     |
|  Mia   | Jellies |   2   |     5507    |     896     |
| Wally  |  Butter |   9   |     3683    |     851     |
|  Chae  |   Fish  |   8   |     5394    |     987     |
|  Mia   |   Eggs  |   4   |     7612    |     924     |
|  Chae  |   Eggs  |   10  |     9108    |     994     |
|  Dan   |   Ham   |   9   |     6291    |     994     |
|  Mia   |  Apple  |   3   |     4514    |     923     |
|  Mia   |  Grapes |   3   |     4609    |     983     |
|  Chae  |  Cherry |   1   |     4021    |     882     |
| Wally  |   Fish  |   10  |     6003    |     947     |
|  Dan   |   Ham   |   11  |     3545    |     946     |
| Helen  |  Butter |   8   |     8365    |     933     |
|  Dan   | Jellies |   6   |     5316    |     958     |
|  Dan   |  Grapes |   11  |     8707    |     848     |
| Claire |   Ham   |   5   |     3464    |     951     |
|  Mia   |   Fish  |   12  |     3614    |     901     |
|  Sam   |  Grapes |   12  |     6626    |     1000    |
|  Chae  |   Fish  |   9   |     5428    |     893     |
|  Boo   |   Ice   |   4   |     2434    |     944     |
| Claire |   Eggs  |   11  |     4210    |     711     |
| Emily  |  Grapes |   2   |     3450    |     928     |
|  Boo   | Jellies |   1   |     6588    |     966     |
|  Boo   |  Butter |   2   |     6765    |     922     |
|  Boo   | Jellies |   11  |     3541    |     883     |
|  Mia   |  Apple  |   4   |     6581    |     848     |
| Claire |   Ice   |   8   |     6530    |     978     |
|  Boo   |  Cherry |   3   |     6641    |     1000    |
|  Sam   |   Fish  |   11  |     4048    |     906     |
|  Dan   |  Apple  |   12  |     4138    |     840     |
| Helen  |  Dates  |   11  |     8128    |     976     |
| Emily  |  Butter |   12  |    10242    |     983     |
| Claire |   Fish  |   10  |     5560    |     913     |
| Wally  |   Eggs  |   8   |     3671    |     822     |
|  Mia   | Jellies |   1   |     7148    |     991     |
| Claire |   Fish  |   5   |     4437    |     923     |
|  Dan   |  Dates  |   9   |     7533    |     983     |
|  Chae  |   Ham   |   9   |     4156    |     860     |
| Helen  |   Eggs  |   10  |     5971    |     1000    |
| Helen  |   Fish  |   2   |     6536    |     983     |
|  Mia   |  Apple  |   5   |     7903    |     882     |
| Helen  |   Ham   |   1   |     3553    |     911     |
|  Dan   |  Cherry |   3   |     5102    |     976     |
| Helen  |  Cherry |   7   |     8144    |     988     |
|  Boo   |  Dates  |   6   |     2517    |     674     |
| Emily  |  Butter |   1   |     5498    |     950     |
| Helen  | Jellies |   8   |     5942    |     977     |
| Helen  |   Ice   |   10  |     7059    |     975     |
|  Chae  |   Ham   |   6   |     5364    |     960     |
| Helen  | Jellies |   12  |     2218    |     850     |
|  Boo   |  Butter |   11  |     5450    |     959     |
| Wally  | Jellies |   10  |     5331    |     971     |
| Wally  |   Eggs  |   12  |     6282    |     982     |
|  Sam   |  Apple  |   12  |     5851    |     951     |
| Helen  |   Fish  |   6   |     6424    |     971     |
|  Sam   |   Eggs  |   4   |     4340    |     992     |
|  Chae  |  Apple  |   11  |     6772    |     981     |
| Emily  |  Grapes |   3   |     4168    |     842     |
| Wally  |   Ham   |   9   |     8038    |     939     |
|  Chae  |   Ice   |   8   |     3500    |     858     |
| Emily  | Jellies |   8   |     3991    |     961     |
| Wally  |   Ham   |   7   |     3295    |     892     |
| Wally  |  Dates  |   5   |     8246    |     998     |
|  Chae  |  Butter |   7   |     6780    |     990     |
|  Chae  |   Eggs  |   7   |     2480    |     774     |
|  Chae  | Jellies |   3   |     1255    |     641     |
| Claire |   Eggs  |   2   |     4292    |     885     |
| Wally  |  Cherry |   9   |     5410    |     806     |
|  Sam   | Jellies |   2   |     6914    |     807     |
|  Boo   |  Grapes |   9   |     5210    |     939     |
|  Dan   |  Apple  |   4   |     4412    |     919     |
| Helen  |  Cherry |   9   |     3999    |     894     |
|  Mia   |   Fish  |   3   |     5269    |     895     |
|  Boo   |  Cherry |   2   |     3110    |     748     |
|  Chae  |   Ice   |   12  |     3146    |     904     |
|  Dan   |  Apple  |   9   |     4106    |     907     |
|  Mia   |  Butter |   1   |     2864    |     790     |
| Wally  | Jellies |   4   |     5365    |     866     |
| Wally  |  Dates  |   10  |     7386    |     973     |
|  Dan   |   Ham   |   7   |     7452    |     967     |
| Claire |  Butter |   7   |     4854    |     996     |
|  Chae  |   Ham   |   11  |     3062    |     617     |
| Wally  |   Eggs  |   3   |     5394    |     830     |
| Helen  |  Grapes |   10  |     3899    |     953     |
| Helen  |  Apple  |   6   |     4563    |     821     |
| Emily  |  Butter |   5   |     4413    |     842     |
| Helen  |   Fish  |   11  |     3441    |     986     |
|  Chae  |  Dates  |   12  |     7613    |     964     |
| Claire |  Grapes |   5   |     2485    |     738     |
|  Chae  |   Eggs  |   5   |     2567    |     965     |
|  Boo   |   Ham   |   6   |     6577    |     962     |
| Helen  |  Butter |   4   |     5342    |     952     |
|  Sam   |  Cherry |   5   |     3921    |     862     |
|  Chae  |  Apple  |   8   |     6490    |     964     |
|  Mia   | Jellies |   9   |     5866    |     978     |
| Claire |  Grapes |   11  |     5921    |     965     |
|  Mia   |   Eggs  |   9   |     4496    |     883     |
|  Dan   |  Grapes |   8   |     7870    |     949     |
| Claire |  Grapes |   4   |     9834    |     998     |
|  Boo   |   Ice   |   11  |     4029    |     771     |
| Helen  |   Eggs  |   8   |     4013    |     997     |
|  Boo   |  Cherry |   10  |     3814    |     757     |
|  Sam   |   Eggs  |   9   |     4457    |     897     |
|  Chae  |  Cherry |   10  |     4123    |     801     |
|  Boo   |  Butter |   1   |     4678    |     983     |
| Helen  |  Butter |   6   |     3948    |     992     |
| Helen  | Jellies |   11  |     2675    |     825     |
|  Boo   |  Grapes |   1   |     4897    |     958     |
|  Boo   |   Eggs  |   7   |     6624    |     990     |
|  Boo   |   Ice   |   5   |     6844    |     990     |
|  Mia   |   Ham   |   3   |     3696    |     945     |
|  Mia   |   Ham   |   8   |     4511    |     983     |
| Wally  |  Butter |   6   |     3714    |     974     |
|  Sam   |  Apple  |   2   |     7416    |     957     |
| Claire |   Ice   |   12  |     7196    |     960     |
|  Chae  |  Dates  |   4   |     5430    |     972     |
| Helen  |   Ice   |   1   |     4276    |     905     |
|  Mia   |   Eggs  |   8   |     8270    |     953     |
|  Sam   |  Grapes |   6   |     4593    |     989     |
|  Dan   |  Grapes |   5   |     6888    |     937     |
|  Boo   |  Cherry |   1   |     4520    |     948     |
| Wally  |   Ice   |   12  |     4242    |     966     |
| Wally  |  Cherry |   3   |     3755    |     935     |
|  Sam   |  Butter |   10  |     3520    |     854     |
| Helen  |  Grapes |   11  |     5681    |     988     |
| Emily  |  Butter |   10  |     6108    |     974     |
|  Boo   | Jellies |   6   |     5677    |     919     |
|  Dan   |  Dates  |   3   |     8190    |     999     |
|  Chae  |  Grapes |   8   |     5653    |     787     |
| Helen  |  Cherry |   11  |     6098    |     881     |
|  Dan   |   Fish  |   9   |     3933    |     947     |
| Claire |  Dates  |   4   |     6446    |     967     |
| Wally  |  Butter |   11  |     6940    |     881     |
| Wally  |  Grapes |   10  |     5900    |     987     |
|  Dan   |  Dates  |   6   |     8907    |     989     |
| Emily  |  Cherry |   12  |     5128    |     965     |
|  Sam   |   Ice   |   10  |     2011    |     842     |
|  Dan   |  Grapes |   2   |     6844    |     870     |
|  Dan   |   Ice   |   3   |     4260    |     886     |
|  Sam   |  Apple  |   8   |     3992    |     810     |
|  Boo   |   Ice   |   12  |     722     |     370     |
|  Sam   |   Fish  |   9   |     4054    |     927     |
|  Dan   |   Eggs  |   1   |     5112    |     852     |
|  Boo   |   Eggs  |   10  |     5603    |     753     |
| Wally  | Jellies |   11  |     4301    |     845     |
|  Sam   |   Eggs  |   5   |     6847    |     991     |
| Emily  |   Fish  |   6   |     4403    |     911     |
| Claire |  Cherry |   9   |     5687    |     919     |
|  Chae  |   Fish  |   2   |     2340    |     838     |
|  Sam   |  Grapes |   2   |     4025    |     920     |
|  Chae  |  Grapes |   1   |     5132    |     994     |
| Emily  |  Dates  |   9   |     2472    |     771     |
|  Sam   |  Grapes |   11  |     2855    |     943     |
|  Sam   |   Ice   |   11  |     7455    |     886     |
| Wally  |  Grapes |   7   |     5225    |     966     |
|  Boo   |   Ice   |   2   |     4566    |     860     |
|  Dan   |   Ice   |   6   |     5527    |     953     |
| Emily  |  Butter |   9   |     3771    |     917     |
| Claire |  Apple  |   3   |     5642    |     838     |
|  Boo   |  Cherry |   6   |     3222    |     997     |
|  Mia   |  Apple  |   11  |     5902    |     910     |
| Emily  |   Eggs  |   9   |     5395    |     963     |
|  Dan   | Jellies |   9   |     5870    |     969     |
| Claire |   Eggs  |   1   |     6049    |     995     |
| Emily  |  Dates  |   11  |     7914    |     992     |
|  Chae  | Jellies |   1   |     3922    |     995     |
| Emily  |   Ham   |   1   |     2713    |     936     |
|  Dan   |  Dates  |   10  |     5180    |     901     |
| Wally  |   Eggs  |   1   |     5961    |     978     |
|  Boo   | Jellies |   9   |     6351    |     963     |
|  Boo   |   Fish  |   9   |     1585    |     720     |
| Emily  |  Butter |   6   |     5406    |     784     |
|  Chae  |  Cherry |   4   |     4356    |     924     |
|  Sam   |   Ham   |   11  |     4992    |     929     |
|  Dan   | Jellies |   8   |     4521    |     971     |
| Helen  |   Fish  |   10  |     8336    |     977     |
| Wally  |   Fish  |   5   |     5364    |     965     |
|  Mia   |   Eggs  |   12  |     5214    |     987     |
| Emily  |   Eggs  |   12  |     3224    |     766     |
|  Sam   |   Ice   |   4   |     5570    |     993     |
| Claire |   Eggs  |   10  |     4049    |     785     |
|  Boo   |  Dates  |   2   |     7779    |     1000    |
|  Chae  |   Ice   |   6   |     1214    |     595     |
|  Mia   |   Eggs  |   7   |     4679    |     882     |
| Claire |  Grapes |   1   |     3748    |     996     |
|  Chae  |  Dates  |   1   |     4216    |     930     |
| Emily  |  Butter |   7   |     2131    |     599     |
| Emily  |   Ham   |   5   |     4285    |     838     |
| Emily  | Jellies |   4   |     4496    |     994     |
|  Dan   |  Dates  |   11  |     6229    |     987     |
| Emily  |   Eggs  |   8   |     3692    |     765     |
| Helen  |  Grapes |   6   |     2638    |     890     |
|  Dan   |  Apple  |   8   |     6179    |     983     |
| Claire | Jellies |   7   |     5747    |     975     |
| Wally  |  Apple  |   2   |     1238    |     345     |
|  Dan   |   Fish  |   4   |     4494    |     756     |
|  Boo   |   Eggs  |   8   |     4910    |     803     |
| Emily  |  Grapes |   7   |     3782    |     922     |
| Helen  |  Dates  |   4   |     5329    |     896     |
|  Sam   |  Grapes |   9   |     3015    |     993     |
| Helen  |  Dates  |   6   |     3221    |     771     |
| Helen  |  Butter |   9   |     2445    |     889     |
|  Mia   |  Dates  |   9   |     7822    |     987     |
|  Dan   |  Cherry |   7   |     5058    |     986     |
|  Dan   |   Fish  |   1   |     5719    |     903     |
| Emily  |  Cherry |   3   |     6946    |     928     |
| Wally  |   Fish  |   11  |     4146    |     982     |
|  Mia   |  Butter |   5   |     2810    |     542     |
|  Mia   | Jellies |   3   |     5263    |     850     |
| Wally  |   Fish  |   4   |     6207    |     847     |
|  Chae  |   Fish  |   10  |     5124    |     900     |
|  Chae  |  Grapes |   6   |     3817    |     652     |
|  Sam   |   Ice   |   2   |     5506    |     928     |
|  Dan   | Jellies |   10  |     5419    |     996     |
|  Dan   |  Dates  |   2   |     4952    |     957     |
| Helen  |  Dates  |   12  |     3298    |     937     |
| Helen  | Jellies |   7   |     4190    |     989     |
| Helen  |   Fish  |   12  |     3606    |     943     |
|  Sam   |  Dates  |   2   |     3551    |     976     |
|  Chae  |   Ice   |   3   |     6171    |     980     |
| Claire |  Grapes |   12  |     4236    |     992     |
| Helen  |  Cherry |   8   |     4140    |     930     |
|  Mia   |   Ice   |   12  |     5929    |     921     |
| Emily  |  Apple  |   6   |     7615    |     984     |
|  Boo   |   Ham   |   10  |     7028    |     907     |
| Helen  |  Cherry |   10  |     4206    |     795     |
| Helen  |   Ham   |   10  |     2531    |     649     |
| Wally  |   Fish  |   12  |     6444    |     982     |
| Wally  |   Ice   |   9   |     2699    |     677     |
| Emily  | Jellies |   1   |     3472    |     882     |
| Wally  |  Grapes |   8   |     4112    |     924     |
|  Mia   |   Ice   |   7   |     3406    |     981     |
| Emily  |   Ham   |   9   |     3871    |     880     |
| Helen  |   Fish  |   1   |     838     |     458     |
| Wally  |  Butter |   1   |     5088    |     904     |
| Claire |  Grapes |   6   |     2586    |     932     |
|  Boo   |   Eggs  |   4   |     4637    |     830     |
|  Dan   |  Butter |   5   |     3071    |     757     |
| Helen  | Jellies |   6   |     4665    |     942     |
|  Sam   |  Apple  |   4   |     3513    |     983     |
| Claire |  Apple  |   7   |     4735    |     874     |
| Wally  |   Ice   |   11  |     1763    |     688     |
|  Dan   |   Fish  |   5   |     7683    |     986     |
|  Mia   |  Apple  |   2   |     5769    |     923     |
| Helen  |  Apple  |   9   |     4102    |     975     |
| Claire |  Grapes |   8   |     5035    |     860     |
| Emily  |   Ham   |   12  |     1913    |     586     |
|  Chae  |  Apple  |   3   |     5481    |     921     |
|  Mia   |  Dates  |   4   |     2576    |     982     |
| Wally  |   Ice   |   10  |     6172    |     987     |
|  Sam   |  Butter |   1   |     5658    |     859     |
| Emily  |   Ice   |   10  |     7342    |     984     |
|  Mia   |   Ham   |   10  |     5793    |     992     |
| Helen  |   Fish  |   8   |     4336    |     999     |
|  Chae  |  Cherry |   3   |     5881    |     993     |
| Helen  |  Dates  |   3   |     3219    |     831     |
|  Sam   |   Ice   |   3   |     3538    |     920     |
|  Sam   |  Cherry |   12  |     4564    |     922     |
| Emily  |  Dates  |   6   |     5430    |     995     |
|  Boo   |   Ham   |   3   |     4152    |     999     |
|  Dan   |   Eggs  |   3   |     4603    |     955     |
|  Dan   |  Grapes |   12  |     3329    |     965     |
|  Mia   |   Fish  |   5   |     4585    |     768     |
|  Chae  |   Fish  |   12  |     3236    |     967     |
|  Chae  |   Ham   |   1   |     3610    |     946     |
| Claire |   Fish  |   1   |     6356    |     1000    |
| Helen  |  Apple  |   11  |     2777    |     770     |
|  Boo   |  Butter |   6   |     7153    |     919     |
|  Boo   |  Grapes |   12  |     7160    |     953     |
|  Mia   |   Ham   |   9   |     2872    |     908     |
| Helen  | Jellies |   10  |     4176    |     980     |
|  Mia   | Jellies |   11  |     5480    |     976     |
|  Dan   |   Ice   |   2   |     4969    |     893     |
|  Dan   |   Eggs  |   4   |     5213    |     974     |
| Emily  |  Butter |   3   |     3966    |     884     |
|  Boo   |  Dates  |   10  |     2972    |     891     |
| Wally  |  Apple  |   5   |     4240    |     800     |
